opportunity_id,company_id,role,need_level,headcount_needed,requirements
O0053,C0041,設備保全,A,3,設備保全経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0054,C0042,機械オペ,A,5,機械オペ経験必須。シフト:3交替。即日〜半年内に開始希望。
O0055,C0043,梱包,C,2,梱包経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0056,C0044,機械オペ,B,10,機械オペ経験必須。シフト:3交替。即日〜半年内に開始希望。
O0057,C0045,清掃,B,10,清掃経験必須。シフト:日勤。即日〜半年内に開始希望。
O0058,C0046,フォークリフト,A,3,フォークリフト経験不問。シフト:3交替。即日〜3ヶ月内に開始希望。
O0059,C0047,ピッキング,B,1,ピッキング経験不問。シフト:2交替。即日〜半年内に開始希望。
O0060,C0047,組立・検査,B,1,組立・検査経験不問。シフト:3交替。即日〜3ヶ月内に開始希望。
O0061,C0048,ピッキング,A,5,ピッキング経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0062,C0048,設備保全,C,3,設備保全経験不問。シフト:日勤。即日〜半年内に開始希望。
O0063,C0049,梱包,B,2,梱包経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0064,C0050,設備保全,A,10,設備保全経験必須。シフト:3交替。即日〜3ヶ月内に開始希望。
O0065,C0050,組立・検査,C,10,組立・検査経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0066,C0051,設備保全,C,5,設備保全経験必須。シフト:2交替。即日〜1ヶ月内に開始希望。
O0067,C0051,組立・検査,A,10,組立・検査経験必須。シフト:3交替。即日〜1ヶ月内に開始希望。
O0068,C0052,設備保全,C,5,設備保全経験必須。シフト:2交替。即日〜1ヶ月内に開始希望。
O0069,C0053,機械オペ,B,5,機械オペ経験必須。シフト:3交替。即日〜1ヶ月内に開始希望。
O0070,C0054,ピッキング,B,3,ピッキング経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0071,C0055,梱包,C,3,梱包経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0072,C0056,介護補助,A,3,介護補助経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0073,C0056,清掃,C,10,清掃経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0074,C0057,機械オペ,B,3,機械オペ経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0075,C0057,機械オペ,B,3,機械オペ経験必須。シフト:3交替。即日〜半年内に開始希望。
O0076,C0058,清掃,A,2,清掃経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0077,C0059,清掃,A,2,清掃経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0078,C0060,梱包,C,2,梱包経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0079,C0061,梱包,A,1,梱包経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0080,C0062,ピッキング,A,2,ピッキング経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0081,C0062,清掃,C,1,清掃経験必須。シフト:3交替。即日〜半年内に開始希望。
O0082,C0063,清掃,C,10,清掃経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0083,C0064,組立・検査,C,5,組立・検査経験必須。シフト:2交替。即日〜1ヶ月内に開始希望。
O0084,C0064,機械オペ,A,1,機械オペ経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0085,C0065,組立・検査,A,10,組立・検査経験必須。シフト:3交替。即日〜1ヶ月内に開始希望。
O0086,C0066,梱包,C,2,梱包経験不問。シフト:2交替。即日〜半年内に開始希望。
O0087,C0067,フォークリフト,A,5,フォークリフト経験必須。シフト:2交替。即日〜半年内に開始希望。
O0088,C0068,介護補助,B,3,介護補助経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0089,C0069,設備保全,C,3,設備保全経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0090,C0070,設備保全,B,2,設備保全経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0091,C0071,機械オペ,B,1,機械オペ経験必須。シフト:3交替。即日〜半年内に開始希望。
O0092,C0072,介護補助,A,10,介護補助経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
O0093,C0073,機械オペ,A,1,機械オペ経験必須。シフト:3交替。即日〜3ヶ月内に開始希望。
O0094,C0074,梱包,C,5,梱包経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0095,C0075,介護補助,B,5,介護補助経験必須。シフト:3交替。即日〜1ヶ月内に開始希望。
O0096,C0076,組立・検査,C,1,組立・検査経験必須。シフト:日勤。即日〜1ヶ月内に開始希望。
O0097,C0077,フォークリフト,A,3,フォークリフト経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0098,C0077,組立・検査,A,2,組立・検査経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0099,C0078,機械オペ,C,2,機械オペ経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0100,C0079,設備保全,B,10,設備保全経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0101,C0080,フォークリフト,B,10,フォークリフト経験必須。シフト:3交替。即日〜1ヶ月内に開始希望。
O0102,C0080,組立・検査,A,1,組立・検査経験必須。シフト:3交替。即日〜3ヶ月内に開始希望。
